id,date,indicator,z_value,direction,fwd_ret_1d,fwd_ret_3d,fwd_ret_5d
SPX,2026-04-09,lev_net,2.0583764796354074,1,-0.0011385210916523558,0.020912356556215927,0.03174072026251307
KOSPI200,2026-04-08,asset_mgr_net,1.678257950352399,1,-0.019324656494602355,-0.013626941244435309,0.03827550662090373
KOSPI200,2026-04-08,lev_net,1.6107929471336266,1,-0.019324656494602355,-0.013626941244435309,0.03827550662090373
NDX,2026-04-08,lev_net,-1.6003444318874838,-1,0.007184624384618532,0.01929677156593157,0.0522588152565604
SPX,2026-04-08,lev_net,2.177619317128371,1,0.006170023529293189,0.015248868077944344,0.035404225482400964
NDX,2026-04-07,lev_net,-1.66911505372516,-1,0.02895587523593579,0.03776368742309821,0.06774670900390456
SPX,2026-04-07,lev_net,2.3141799029104066,1,0.025081414644149813,0.030231913389326515,0.05297532511434877
NDX,2026-04-06,lev_net,-1.5645225530509244,-1,0.00042159172918077026,0.03678545267947708,0.049253571924219086
SPX,2026-04-06,lev_net,2.6489582727301317,1,0.0007592481161695641,0.03218928429953771,0.041502905097013265
KOSPI200,2026-04-03,basis_bp,1.6703538831489302,1,0.016935564685840232,0.10583475298126044,0.10078665196913517
KOSPI200,2026-04-02,basis_bp,1.6783212977726927,1,0.030582342537727847,0.059989930676581205,0.11763035255541365
NDX,2026-04-02,lev_net,-1.6299203211590114,-1,0.006098456939313879,0.03566736312647767,0.04453262532316837
SPX,2026-04-02,lev_net,2.8757080955067016,1,0.0044267825126402816,0.03040096358309552,0.03557819028347975
KOSPI200,2026-04-01,asset_mgr_net,2.724038901104726,1,-0.048179003243880913,-0.0024574855008355767,0.08474638749631369
NDX,2026-04-01,lev_net,-1.70081056249037,-1,0.0010632420017995248,0.007592796852556427,0.044217320615519196
SPX,2026-04-01,lev_net,3.1603269748066882,1,0.0011208758485563575,0.006316084167424352,0.0379206394056848
KOSPI200,2026-03-31,basis_bp,1.7317848377983824,1,0.09303356299609167,0.07218931732409306,0.10278415729884349
KOSPI200,2026-03-31,lev_net,-1.60201270771112,-1,0.09303356299609167,0.07218931732409306,0.10278415729884349
NDX,2026-03-31,lev_net,-1.7623983597494852,-1,0.011785954017025313,0.01903862096982989,0.04898783436612009
SPX,2026-03-31,lev_net,3.497082784164298,1,0.007168516684867399,0.012760940970466983,0.03895064092654166
NDX,2026-03-30,asset_mgr_net,-2.2338981181358446,-1,0.03427854914142814,0.04758115783426842,0.05441413136051665
NDX,2026-03-30,lev_net,-2.0883824114743437,-1,0.03427854914142814,0.04758115783426842,0.05441413136051665
NDX,2026-03-30,oi_chg_w,-2.6559152230660223,-1,0.03427854914142814,0.04758115783426842,0.05441413136051665
SPX,2026-03-30,oi_chg_w,-2.685534371188243,-1,0.02913114047102594,0.037670281549197604,0.04305515904900714
NDX,2026-03-27,asset_mgr_net,-2.371989278501759,-1,-0.007754742536671411,0.038353414705768696,0.04579652208067264
NDX,2026-03-27,lev_net,-2.1924541901242485,-1,-0.007754742536671411,0.038353414705768696,0.04579652208067264
NDX,2026-03-27,oi_chg_w,-2.8832970452966573,-1,-0.007754742536671411,0.038353414705768696,0.04579652208067264
SPX,2026-03-27,lev_net,1.5089204616406757,1,-0.003945748828622642,0.03241868208493104,0.03815131094986324
SPX,2026-03-27,oi_chg_w,-2.9202896259383846,-1,-0.003945748828622642,0.03241868208493104,0.03815131094986324
NDX,2026-03-26,asset_mgr_net,-2.533090712644245,-1,-0.019257255741897628,0.006495072801901314,0.01944033799750078
NDX,2026-03-26,lev_net,-2.309745573647333,-1,-0.019257255741897628,0.006495072801901314,0.01944033799750078
NDX,2026-03-26,oi_chg_w,-3.1688339937860404,-1,-0.019257255741897628,0.006495072801901314,0.01944033799750078
SPX,2026-03-26,lev_net,1.5342858566459436,1,-0.01672184352107431,0.007929379858191643,0.016292600863732076
SPX,2026-03-26,oi_chg_w,-3.216807247149751,-1,-0.01672184352107431,0.007929379858191643,0.016292600863732076
KOSPI200,2026-03-25,asset_mgr_net,1.6790146989694419,1,-0.03554310242041259,-0.06960772624299505,-0.029641111243591256
NDX,2026-03-25,asset_mgr_net,-2.7344442583478106,-1,-0.02383771468589846,-0.05006003340272436,-0.005917739931128541
NDX,2026-03-25,lev_net,-2.466982394810133,-1,-0.02383771468589846,-0.05006003340272436,-0.005917739931128541
NDX,2026-03-25,oi_chg_w,-2.6975340400413024,-1,-0.02383771468589846,-0.05006003340272436,-0.005917739931128541
SPX,2026-03-25,lev_net,1.5647117513987034,1,-0.017406172392416708,-0.037649189334892585,-0.0025152199473030823
SPX,2026-03-25,oi_chg_w,-3.0732855172337015,-1,-0.017406172392416708,-0.037649189334892585,-0.0025152199473030823
NDX,2026-03-24,asset_mgr_net,-2.9820744974888775,-1,0.006688119555507521,-0.03623295604436205,-0.010926375189250659
NDX,2026-03-24,lev_net,-2.653323074826321,-1,0.006688119555507521,-0.03623295604436205,-0.010926375189250659
NDX,2026-03-24,oi_chg_w,-2.3779920047814818,-1,0.006688119555507521,-0.03623295604436205,-0.010926375189250659
SPX,2026-03-24,basis_bp,1.537617743532257,1,0.005419124381509377,-0.028601194895887083,-0.004247792171348186
